"EvergreenName","Application","CommunityPackageId","CommunityVersion","EvergreenVersion","Published","VersionMismatch","StaleDays","LastChecked","AmbiguousMatch"
"ImageGlass","ImageGlass","imageglass","9.5.0.515","10.0.4.819","2026-06-05","True","78","2026-08-22","False"
"ImageMagickStudioImageMagick","ImageMagick Studio ImageMagick","imagemagick","7.1.2.2500","7.1.2","2026-06-05","True","78","2026-08-22","False"
"IronLanguagesIronPython3","IronLanguages IronPython 3","ironpython","3.4.2","3.4.2","2024-12-20","False","610","2026-08-22","False"
"JabraDirect","JabraDirect","","","8.1.14601","","False","","2026-08-22","False"
"JamTreeSizeFree","JAM Software TreeSize Free","treesize","9.8.2","4.81","2026-07-06","True","47","2026-08-22","True"
"JamTreeSizeProfessional","JAM Software TreeSize Professional","treesize","9.8.2","9.82","2026-07-06","True","47","2026-08-22","True"
"JanDeDobbeleerOhMyPosh","Jan De Dobbeleer Oh My Posh","jan","0.8.3","30.6.5","2026-06-25","True","58","2026-08-22","False"
"JASP","JASP","jasp","0.14.1","0.98.1","2021-01-06","True","2054","2026-08-22","False"
"JelleGlebbeekOpenVideoDownloader","Jelle Glebbeek Open Video Downloader","","","2.5.6","","False","","2026-08-22","False"
"JendrikSeippRedNotebook","Jendrik Seipp RedNotebook","rednotebook","2.35.0","2.42","2024-09-23","True","698","2026-08-22","False"
"JeremyMainGPUProfiler","JeremyMain GPUProfiler","","","1.07a4","","False","","2026-08-22","False"
"JetBrainsCLion","JetBrains CLion","","","2026.2.1","","False","","2026-08-22","False"
"JetBrainsDataGrip","JetBrains DataGrip","datagrip","2026.2.4","2026.2.4","2026-08-20","False","2","2026-08-22","False"
"JetBrainsDataSpell","JetBrains DataSpell","dataspell","2023.2.5","2026.1.3","2023-12-01","True","995","2026-08-22","False"
"JetBrainsGateway","JetBrains Gateway","","","2026.2.1","","False","","2026-08-22","False"
"JetBrainsGoLand","JetBrains GoLand","goland","2026.2.1.1","2026.2.1.1","2026-08-19","False","3","2026-08-22","False"
"JetBrainsIntelliJIDEA","JetBrains IntelliJ IDEA","","","2026.2.1","","False","","2026-08-22","False"
"JetBrainsPhpStorm","JetBrains PhpStorm","phpstorm","2026.2.0.1","2026.2.1","2026-07-24","True","29","2026-08-22","False"
"JetBrainsPyCharm","JetBrains PyCharm","Pycharm","2026.2.1","2026.2.1","2026-08-12","False","10","2026-08-22","False"
"JetBrainsRider","JetBrains Rider","","","2026.2.1","","False","","2026-08-22","False"
"JetBrainsRubyMine","JetBrains RubyMine","RubyMine","2026.2.1","2026.2.1","2026-08-12","False","10","2026-08-22","False"
"JetBrainsSpace","JetBrains Space","","","2023.1.7","","False","","2026-08-22","False"
"JetBrainsTeamCity","JetBrains TeamCity","teamcity","2026.1.3","2026.1.3","2026-07-28","False","25","2026-08-22","False"
"JetBrainsToolbox","JetBrains Toolbox App","jetbrainstoolbox","3.7.1.87197","3.7.2","2026-08-20","True","2","2026-08-22","False"
"JetBrainsWebStorm","JetBrains WebStorm","WebStorm","2026.2.1","2026.2.1","2026-08-05","False","17","2026-08-22","False"
"JetBrainsYouTrack","JetBrains YouTrack","","","6.0","","False","","2026-08-22","False"
"JGraphDrawIO","JGraph draw.io (diagrams.net)","","","31.3.1","","False","","2026-08-22","False"
"JimRadfordSuperPuTTY","Jim Radford SuperPuTTY","superputty","1.5.0","1.5.0.0","2023-01-29","True","1301","2026-08-22","False"
"JitsiMeet","Jitsi Team Jitsi Meet","jitsi","2.10.5550.20180405","2026.8.0","2018-04-05","True","3061","2026-08-22","False"
"JocsMarkText","Jocs MarkText","marktext","0.19.1","0.19.1","2026-06-06","False","77","2026-08-22","False"
"jq","jq","jq","1.8.1","1.8.2","2025-07-13","True","405","2026-08-22","False"
"jrsoftwareInnoSetup","jrsoftware InnoSetup","InnoSetup","6.7.1","is-7_1_0","2026-02-17","True","186","2026-08-22","False"
